Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Mexican Crack","Crescent Crack Buttress > Little Cottonwood Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/105740603/mexican-crack,3.7,-1,Trad,5.10a,1,90,40.5733,-111.771
"Moby Dick","Southwest Base > Base Routes > El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105870188/moby-dick,3.7,-1,Trad,5.10a,1,150,37.72933,-119.63783
Tailspin,"Old Aid Wall aka Upper Echelon Wall > Triple Tier Area > Poudre Canyon > Fort Collins > Colorado",https://www.mountainproject.com/route/106737083/tailspin,3.9,-1,Sport,5.12b,1,70,40.6924,-105.3755
"Tits Up","Cactus Cliff > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105752335/tits-up,3.8,-1,Sport,5.12b,1,80,38.63213,-105.22238
"West Crack","West Face > Daff Dome > Daff Area > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/105859422/west-crack,3.6,-1,Trad,5.9,5,,37.8795,-119.41345
"Risky Business","Dark Shadows Wall > Mescalito > 10-Pine Creek Canyon > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732866/risky-business,3.8,-1,Trad,"5.10c R",4,400,36.12399,-115.49506
Khaleesi,"The Grail > Lime Kiln Canyon > The Arizona Strip > Northern Arizona > Arizona",https://www.mountainproject.com/route/112259660/khaleesi,3.8,-1,Sport,5.11c,1,115,36.65703,-114.00822
"T-Bones Tonight","2nd Meat Wall > Indian Creek > Moab Area > Utah",https://www.mountainproject.com/route/105718810/t-bones-tonight,3.8,-1,Trad,5.12-,1,100,38.1302,-109.5862
Liposuction,"Sex Cave > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/105865349/liposuction,3.7,-1,Sport,5.12a,1,40,30.3631,-98.1237
"Lucid Dreaming","Middle > Plotinus Wall > Lower Dream Canyon > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105755821/lucid-dreaming,3.7,-1,Sport,5.12c/d,1,,40.00677,-105.40642
Zorro,"Zorro Area > Wild Iris > Lander Area > Wyoming",https://www.mountainproject.com/route/105841220/zorro,3.8,-1,Sport,5.11c,1,75,42.5797,-108.7168
"Zanzibar Dihedral","Weller Slab > Independence Pass > Colorado",https://www.mountainproject.com/route/105978828/zanzibar-dihedral,3.8,-1,Trad,5.8,1,125,39.12419,-106.72205
"Center El Shinto","Sector Shinto > French Cattle Ranch > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/105856684/center-el-shinto,3.8,-1,Sport,5.12b,1,70,44.14653,-107.25807
Polygrip,"Broken Tooth > Indian Creek > Moab Area > Utah",https://www.mountainproject.com/route/105718111/polygrip,3.8,-1,Trad,5.11+,1,100,38.10072,-109.56618
"Strawberry Fields","Reflector Oven > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/105898326/strawberry-fields,3.7,-1,Trad,5.9+,1,65,38.55,-78.3089
"Light My Fire","The Dungeon > Staunton Rocks > Staunton State Park > South Platte > Colorado",https://www.mountainproject.com/route/114441945/light-my-fire,3.8,-1,Sport,5.12a,1,80,39.5168,-105.3962
"Erect Direction","h. The Arrow Wall - CCK > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105799041/erect-direction,3.7,-1,Trad,5.10c,3,300,41.74396,-74.17964
"East Face","Mt. Whitney > 14 - Whitney & Surrounding Peaks > High Sierra > California",https://www.mountainproject.com/route/105792077/east-face,3.5,-1,"Trad, Alpine",5.7,10,1000,36.57844,-118.29229
"The West Face","North Early Winter Spire > Washington Pass > North Cascades > Northwest Region > Washington",https://www.mountainproject.com/route/105847147/the-west-face,3.7,-1,"Trad, Alpine",5.11-,6,,48.51291,-120.65557
Masuko,"Whippoorwill > Summersville Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106736128/masuko,3.8,-1,Sport,5.11a,1,70,38.2338,-80.8552
"Air Show","Circus Wall > Sentinel Buttress > Moore's Wall > North Carolina",https://www.mountainproject.com/route/106337238/air-show,3.8,-1,Trad,5.8+,2,180,36.3973,-80.2861
"Coyne Crack","Supercrack Buttress > Indian Creek > Moab Area > Utah",https://www.mountainproject.com/route/105717343/coyne-crack,3.7,-1,Trad,5.11d,1,,38.03635,-109.54552
"New Dimensions","Arch Rock > d. Entrance Station > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105992537/new-dimensions,3.8,-1,Trad,5.11a,4,400,37.6893,-119.7334
"Blue Sun","Way Rambo > Indian Creek > Moab Area > Utah",https://www.mountainproject.com/route/105718435/blue-sun,3.6,-1,Trad,5.10-,1,70,38.0368,-109.5774
"Assembly Line","East and Northeast Buttress Approach > Devils Tower > Wyoming",https://www.mountainproject.com/route/105715028/assembly-line,3.7,-1,Trad,5.9,2,140,44.5911,-104.71442
"Modern Times","h. The Arrow Wall - CCK > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105799085/modern-times,3.6,-1,Trad,5.8+,2,250,41.74396,-74.17964
Directissima,"i. High E > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105799563/directissima,3.6,-1,Trad,5.9,2,120,41.74421,-74.179
"Center Thumb","South Summit Wall > Lone Peak Cirque > Wasatch Range > Utah",https://www.mountainproject.com/route/105741161/center-thumb,3.7,-1,"Trad, Alpine",5.9,5,400,40.52551,-111.7558
"Bullet the New Sky","J) Snake Buttress > Endless Wall > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106421298/bullet-the-new-sky,3.8,-1,Sport,5.12a/b,1,80,38.05474,-81.05704
Monkeyfinger,"Temple of Sinawava > Zion National Park > Utah",https://www.mountainproject.com/route/105717820/monkeyfinger,3.7,-1,Trad,5.12,9,900,37.28494,-112.94922
